FPS               Frame                Time   AcumelatedObjects        ObjectsFound       ObjectTracked                   X                   Y                  VX                  VY                  dX                  dY               Width              Height
4                 683             274.903                2494                  40                  32                 117                 379                   0                   0                   0                   0                  85                 172
4                 684             274.991                2499                  40                  32                 117                 379                   0                   0                   0                   0                  85                 172
4                 685             275.092                2508                  42                  32                 117                 379                   0                   0                   0                   0                  85                 172
11                 686             275.193                2508                  28                  32                 117                 379                   0                   0                   0                   0                  85                 172
11                 687             275.313                2515                  35                  32                 117                 378                   0            -9.25926                   0                  -1                  85                 172
11                 688             275.388                2521                  26                  32                 117                 379                   0              12.987                   0                   1                  85                 172
11                 689             275.444                2532                  29                  32                 117                 379                   0                   0                   0                   0                  85                 172
11                 690             275.544                2564                  52                  32                 117                 379                   0                   0                   0                   0                  85                 172
11                 691             275.632                2572                  49                  32                 117                 379                   0                   0                   0                   0                  85                 172
11                 692             275.753                2577                  50                  32                 117                 379                   0                   0                   0                   0                  85                 172
11                 693              275.83                2581                  50                  32                 117                 379                   0                   0                   0                   0                  85                 172
11                 694             275.927                2592                  54                  32                 117                 379                   0                   0                   0                   0                  85                 172
11                 695             276.027                2595                  46                  32                 117                 379                   0                   0                   0                   0                  85                 172
11                 696             276.083                2606                  53                  32                 117                 379                   0                   0                   0                   0                  85                 172
11                 697             276.203                2608                  48                  32                 117                 379                   0                   0                   0                   0                  85                 172
11                 698             276.279                2610                  43                  32                 117                 379                   0                   0                   0                   0                  85                 172
11                 699             276.377                2619                  45                  32                 117                 379                   0                   0                   0                   0                  85                 172
11                 700             276.464                2635                  52                  32                 117                 379                   0                   0                   0                   0                  85                 172
11                 701             276.564                2638                  41                  32                 117                 379                   0                   0                   0                   0                  85                 172
11                 702             276.685                2648                  45                  32                 117                 379                   0                   0                   0                   0                  85                 172
11                 703             276.729                2652                  45                  32                 117                 379                   0                   0                   0                   0                  85                 172
11                 704             276.818                2653                  28                  32                 117                 379                   0                   0                   0                   0                  85                 172
11                 705             276.918                2674                  35                  32                 117                 379                   0                   0                   0                   0                  85                 172
11                 706             277.019                2675                  23                  32                 117                 379                   0                   0                   0                   0                  85                 172
10                 707             277.142                2683                  27                  32                 117                 379                   0                   0                   0                   0                  85                 172
10                 708             277.207                2686                  25                  32                 117                 379                   0                   0                   0                   0                  85                 173
10                 709             277.304                2692                  26                  32                 117                 378                   0            -10.3093                   0                  -1                  85                 173
10                 710             277.402                2696                  25                  32                 116                 375            -11.6279            -34.8837                  -1                  -3                  85                 173
10                 711             277.468                2701                  26                  32                 117                 376             15.3846             15.3846                   1                   1                  85                 174
10                 712              277.59                2704                  23                  32                 115                 367            -16.2602            -73.1707                  -2                  -9                  85                 219
10                 713             277.666                2707                  21                  32                 115                 366                   0            -13.1579                   0                  -1                  85                 216
10                 714             277.754                2711                  22                  32                 115                 366                   0                   0                   0                   0                  86                 213
10                 715             277.853                2717                  22                  32                 115                 367                   0             11.3636                   0                   1                  85                 212
10                 716             277.941                2723                  22                  32                 115                 367                   0                   0                   0                   0                  85                 212
10                 717             278.065                2732                  27                  32                 115                 367                   0                   0                   0                   0                  81                 214
10                 718             278.108                2736                  26                  32                 116                 367             18.1818                   0                   1                   0                  78                 214
12                 719             278.199                2737                  23                  32                 119                 366              32.967             -10.989                   3                  -1                  74                 214
